id,runtime,budget,revenue,status,tagline,director,cast_top3,collection_name,production_countries
1339713,108,750000,290347910,Released,,커리 바커,"마이클 존스턴, 인디 네버레티, Cooper Tomlinson",Obsession Universe,"United States of America, United Kingdom"
931285,116,80000000,128826495,Released,,Simon McQuoid,"칼 어번, 아델린 루돌프, 루디 린",모탈 컴뱃 리부트 시리즈,United States of America
936075,128,250000000,934009960,Released,"전설이 된 황제, 그 위대한 시작",안톤 후쿠아,"자파 잭슨, 콜먼 도밍고, 니아 롱",Michael Collection,United States of America
1367220,152,16000000,3345079,Released,,RJ Balaji,"Suriya, த்ரிஷா கிருஷ்ணன், RJ Balaji",,India
1057265,192,36500000,0,Released,,Buchi Babu Sana,"Ram Charan, 잔비 카푸르, Shivaraj Kumar",,India
1308553,136,0,0,Released,,David Dhawan,"바룬 다완, Mrunal Thakur, Pooja Hegde",,"India, United Kingdom"
1275779,146,115000000,98196385,Released,우리는 진실을 알아야 한다,스티븐 스필버그,"에밀리 블런트, 조쉬 오코너, 콜린 퍼스",,United States of America
1226293,105,0,0,Released,,Bobby Bonifacio,"Angelica Hart, Nico Locco, Matthew Francisco",,Philippines
1228710,132,165000000,315100000,Released,은하계의 운명을 건 위대한 임무가 시작된다!,존 파브로,"페드로 파스칼, 제레미 앨런 화이트, 시고니 위버",,United States of America
1226863,99,110000000,1000843925,Released,,"마이클 제레닉, 아론 호바스","크리스 프랫, 안야 테일러조이, 찰리 데이",슈퍼 마리오 시리즈,"Japan, United States of America"
1239134,163,14000000,20000000,Released,,Priyadarshan,"악샤이 쿠마르, Wamiqa Gabbi, Paresh Rawal",,India
1103473,141,0,0,Released,,Prem,"Dhruva Sarja, Shilpa Shetty Kundra, 산자이 더트",,India
1523145,134,3716000,7578000,Released,,Михаил Вайнберг,"Даниэль Вегас, Вероника Журавлёва, Иван Трушин",,Russia
454639,141,200000000,86387310,Released,전설의 힘이 깨어난다,트래비스 나이트,"니콜라스 갈리친, 카밀라 멘데스, 이드리스 엘바",,United States of America
1304313,133,22000000,90452113,Released,깨어나지 말았어야 했다,리 크로닌,"잭 레이너, 라이아 코스타, 메이 칼라마위",,"United States of America, Ireland"
11012,111,11000000,31000000,Released,"일생을 뒤흔든 치명적 유혹, 이 사랑에 미치다",루이 말,"제레미 아이언스, 쥘리에트 비노쉬, 미란다 리처드슨",,"France, United Kingdom"
1293550,140,0,0,Released,,Anurag Kashyap,"Bobby Deol, Sanya Malhotra, Saba Azad",,India
1280738,114,20000000,1400000,Released,,谷垣健治,"사묘, 조 타슬림, 杨恩又",,"Hong Kong, United States of America, China"
912378,127,0,77048,Released,,Martin Joseph,"Shane Nigam, Shobi Thilakan, Dinesh Prabhakar",,India
1007757,102,0,0,Released,,네이든 그레노,"마이클 B. 조던, 주노 템플, 트레이시 모건",,"United States of America, Spain"
28322,89,0,0,Released,,Fernando Di Leo,"Joe Dallesandro, Patrizia Behn, Gianni Macchia",,Italy
687163,157,200000000,681404846,Released,두 세계의 운명을 건 단 하나의 미션,"필 로드, 크리스토퍼 밀러","라이언 고슬링, 산드라 휠러, 제임스 오티즈",,United States of America
1439930,51,0,0,Released,,Reinaldo Marcus Green,"존 번설, 데보라 앤 월, 제이슨 R. 무어",,United States of America
1122573,97,70000000,22726621,Released,,가이 리치,"헨리 카빌, 제이크 질렌할, 에이사 곤살레스",,"United Kingdom, United States of America"
1358005,115,0,0,Released,,Ol Parker,"제니퍼 로페즈, 브렛 골드스틴, 베티 길핀",,United States of America
1604143,0,0,0,Released,,,"윤율, Yeon Joo, Jeong Ho-yoon",,
1582770,229,14330000,152900759,Released,,Aditya Dhar,"란비르 싱, Arjun Rampal, R. Madhavan",두란다르 시리즈,India
1380291,107,0,0,Released,,Andrew Bernstein,"존 크래신스키, 웬들 피어스, 시에나 밀러",,United States of America
976912,90,0,0,Released,참을 수 없는 데이팅 앱의 유혹,Andy Edwards,"David Wayman, Sian Altman, May Kelly",,United Kingdom
1084244,102,150000000,0,Released,장남감의 시대는 끝났다?!,앤드류 스탠튼,"톰 행크스, 팀 앨런, 조앤 쿠삭",토이 스토리 시리즈,United States of America
1419406,142,0,174400000,Released,베테랑 vs 베테랑,杨子,"성룡, 장자풍, 양가휘",,"China, Hong Kong"
1628448,127,0,0,Released,,Suresh Triveni,"Madhuri Dixit, Triptii Dimri, Dharna Durga",,India
270473,101,0,0,Released,,ฤกษ์ชัย พวงเพ็ชร,"빠꼰 찻보리락, อริย์กันตา มหาพฤกษ์พงศ์, เอนก อินทะจันทร์",,Thailand
1083381,111,10000000,262595784,Released,시작은 호기심이었다,케인 파슨스,"치웨텔 에지오포, 레나테 레인스베, 마크 듀플래스",,"United States of America, Canada"
1327819,104,150000000,372010783,Released,"좋아, 자연스러웠어",다니엘 총,"파이퍼 쿠르다, 바비 모니한, 존 햄",,United States of America
83533,195,350000000,1490477656,Released,,제임스 카메론,"샘 워싱턴, 조 샐다나, 시고니 위버",아바타 시리즈,United States of America
